iter,n_files,rmse_m,rmse_q,mae_m,mae_q,iter_runtime_sec,cumulative_runtime_sec
1,10,0.45339688658714294,278.0677185058594,0.410334974527359,252.47097778320312,18.217407819000073,18.217409218952525
2,20,0.42965325713157654,227.79330444335938,0.3748909533023834,195.37416076660156,31.569710384996142,49.787122573994566
3,30,0.276397168636322,127.02092742919922,0.2531798779964447,115.87357330322266,50.057648262998555,99.84477546694688
4,40,0.3420557975769043,168.45594787597656,0.30591627955436707,146.68772888183594,68.76831819798099,168.61309787497157
5,50,0.3216882348060608,146.53555297851562,0.2973359525203705,134.34629821777344,84.3907283640001,253.00382851896575
6,60,0.356516569852829,168.69708251953125,0.32208240032196045,152.48089599609375,100.72150360496016,353.72533470497
7,70,0.31533321738243103,138.9011993408203,0.27242231369018555,121.7780532836914,116.14661555900238,469.8719529239461
8,80,0.31115585565567017,132.73597717285156,0.2824856638908386,119.80331420898438,132.21754612703808,602.0895015709684
9,90,0.32445773482322693,154.4710693359375,0.28548672795295715,130.88406372070312,157.27948951598955,759.3689932569978
10,100,0.28029772639274597,120.65367889404297,0.26126646995544434,111.1250228881836,161.0540617069928,920.423057413951
11,110,0.3189518451690674,140.99893188476562,0.2917134463787079,129.56956481933594,185.96865618700394,1106.3917157709948
12,120,0.34026312828063965,149.6241912841797,0.3119761049747467,137.09405517578125,203.1569426690112,1309.5486611099914
13,130,0.32376977801322937,156.32626342773438,0.29414913058280945,141.9334716796875,217.0793445549789,1526.6280079449643
14,140,0.23782466351985931,106.58525848388672,0.21194037795066833,89.04302978515625,242.96753056003945,1769.5955413549673
15,150,0.26897650957107544,127.05597686767578,0.24168820679187775,111.68498992919922,256.36540605901973,2025.9609496739577
16,160,0.2844361662864685,120.53759002685547,0.2610359191894531,108.86283874511719,270.5455120190163,2296.5064642129582
17,170,0.35781532526016235,168.98854064941406,0.31525319814682007,146.3889923095703,292.0398117269506,2588.5462785799755
18,180,0.2993631064891815,138.5413055419922,0.276631236076355,125.44865417480469,308.9422415519948,2897.4885231519584
19,190,0.2810605466365814,119.75054168701172,0.24323241412639618,105.55706024169922,319.7206916839932,3217.209217075957
20,200,0.29725685715675354,130.68283081054688,0.27698439359664917,122.44986724853516,340.33274626900675,3557.54196568497
21,210,0.24433447420597076,110.42362213134766,0.2292342334985733,98.236572265625,359.72283820196753,3917.2648062969674
22,220,0.3248123526573181,151.1051483154297,0.2930275797843933,139.6306915283203,380.15896777802845,4297.423776894982
23,230,0.3148031234741211,147.44668579101562,0.29118868708610535,138.02716064453125,398.4609562099795,4695.884735524945
24,240,0.2933349311351776,129.76531982421875,0.27196699380874634,120.20122528076172,411.8198881279677,5107.704625702987
25,250,0.30398017168045044,134.875244140625,0.2778512239456177,123.64555358886719,404.09027095901547,5511.794899101951
26,260,0.3219967186450958,149.96575927734375,0.2948874235153198,137.3455352783203,447.97775135200936,5959.7726532939705
27,270,0.3326232433319092,158.93096923828125,0.3029334545135498,142.30543518066406,464.40402749401983,6424.176683177997
28,280,0.26805827021598816,118.42973327636719,0.24896861612796783,110.37177276611328,477.49680437904317,6901.673490586982
29,290,0.290303498506546,136.46583557128906,0.26951882243156433,126.7796859741211,484.5152440550155,7386.188737481949
30,300,0.31797680258750916,145.88836669921875,0.2938767671585083,134.439208984375,514.2959759820369,7900.484715803992
31,310,0.25476351380348206,122.97608184814453,0.22317320108413696,107.01045227050781,528.9363558950135,8429.421073648962
32,320,0.29809272289276123,137.11814880371094,0.2757563591003418,128.3720245361328,548.9343604669557,8978.355437465943
33,330,0.31486645340919495,139.27789306640625,0.2950054109096527,130.39739990234375,555.8929071759921,9534.248347051966
34,340,0.3318495750427246,152.052978515625,0.29709693789482117,133.69569396972656,582.4940462860395,10116.742395937967
35,350,0.31762242317199707,143.71533203125,0.29452961683273315,132.7390899658203,574.9260432050214,10691.66844103299
36,360,0.30662357807159424,134.80172729492188,0.2914479672908783,127.1373291015625,618.9551393719739,11310.623582234955
37,370,0.31952694058418274,143.66055297851562,0.2933817207813263,133.01792907714844,631.1063467070344,11941.72993077198
