iter,n_files,rmse_m,rmse_q,mae_m,mae_q,r2_m,r2_q
1,10,0.051331414,6.232296,0.046480188,5.1745696,0.966595232,0.99772799
2,20,0.05634844,9.540346,0.058471573,8.275888,0.946303606,0.994675994
3,30,0.0406015,5.7002854,0.031079886,5.0117044,0.979892015,0.998099327
4,40,0.042075668,7.5438886,0.033492694,7.128735,0.978405356,0.996671081
5,50,0.04114827,8.148207,0.03527849,7.6867275,0.977290332,0.9961164
6,60,0.03843352,3.967556,0.030882085,3.5690494,0.981032312,0.999079227
7,70,0.037952368,5.773863,0.029537344,5.019434,0.980945468,0.998049974
8,80,0.039999873,4.958454,0.032661883,4.5588083,0.978483081,0.998561859
9,90,0.035336828,6.010333,0.018841423,5.545809,0.983894348,0.997886956
10,100,0.035174458,3.078133,0.018262958,2.3893394,0.984037995,0.999445796
11,110,0.033249356,4.8919215,0.015509309,4.5714035,0.986515045,0.998600185
12,120,0.033301013,4.233655,0.015441214,3.616372,0.985648513,0.998951554
13,130,0.034150226,3.2968857,0.017473908,2.8509707,0.984929085,0.999364197
14,140,0.034602053,3.0792482,0.016044214,2.545113,0.985395491,0.999445379
15,150,0.03430012,4.6326427,0.016358712,4.31348,0.985649228,0.998744607
16,160,0.033246204,3.0702183,0.014560342,2.7047641,0.986517549,0.999448597
17,170,0.033968806,2.866123,0.01541412,2.291001,0.985925138,0.999519467
18,180,0.034405237,3.5958917,0.016364978,3.110286,0.98470962,0.999243617
19,190,0.030164147,3.9143865,0.01537257,3.5906994,0.986584067,0.999103725
20,200,0.029718852,2.4432053,0.012302099,2.0995169,0.989226699,0.999553382
21,210,0.030631492,3.2751577,0.015550006,2.4917505,0.986203253,0.999372542
22,220,0.0319114,2.7059686,0.016524428,2.0134435,0.985133171,0.999571681
23,230,0.032821218,2.533492,0.016725272,1.8665402,0.984348178,0.99962455
24,240,0.030566136,2.783139,0.016013834,2.3525476,0.986256838,0.999546885
25,250,0.029124312,3.4543371,0.011400196,2.6892633,0.989653468,0.99930203
26,260,0.028511453,3.465751,0.015531251,3.547896,0.984959662,0.999033093
27,270,0.03049455,3.340053,0.012479557,2.7130854,0.988656998,0.999347448
28,280,0.028681868,3.089904,0.015034431,2.4303913,0.985328019,0.999441504
29,290,0.03173721,2.929612,0.01239542,2.2335086,0.987713695,0.99949795
30,300,0.0300214,3.3861473,0.011268172,2.8264468,0.989006281,0.999329329
31,310,0.031522456,3.4633774,0.01765589,3.637421,0.983729362,0.999034226
32,320,0.030592203,3.8323405,0.012344016,3.291459,0.98858422,0.999140918
33,330,0.027175588,3.497497,0.013814458,2.6219933,0.987699211,0.999284446
34,340,0.029641729,2.885585,0.012294533,2.3935857,0.989282548,0.99951297
35,350,0.030406194,2.873535,0.01295801,2.4813316,0.988722622,0.999517024
36,360,0.028480594,2.1976697,0.0169619,1.6488837,0.985497832,0.999717474
37,370,0.032519493,2.8983572,0.013695802,2.2691562,0.987100542,0.999508619
38,374,0.029689269,2.6070037,0.010747617,2.2413523,0.991311252,0.999602437
